Tester,Player1,Player2,Winner,Moves_Taken
Mary,Human,Adversarial,Human,17
Mary,Human,Control,Human,23
Mary,Human,Control,Human,45
Mary,Human,Control,Human,35
Mary,Human,Control,Human,27
Kanchan,Human,Control,Human,31
Mary,Human,Control,Human,31
Kanchan,Human,Control,Human,23
Mary,Human,Control,Human,41
Kanchan,Human,Control,Human,29
Mary,Human,Control,Human,33
Kanchan,Human,Control,Human,27
Mary,Human,Control,Human,31
Kanchan,Human,Control,Human,5
Mary,Human,Control,Human,23
Mary,Human,Control,Human,29
Mary,Human,Heuristic,Human,13
Mary,Human,Heuristic,Human,13
Mary,Human,Heuristic,Human,35
Mary,Human,Heuristic,Heuristic,16
Mary,Human,Heuristic,Human,15
Mary,Human,Heuristic,Human,9
Mary,Human,Heuristic,Heuristic,14
Mary,Human,Heuristic,Human,19
Mary,Human,Heuristic,Heuristic,10
Mary,Human,Heuristic,Heuristic,34
Mary,Human,Heuristic2,Human,31
Mary,Human,Heuristic2,Human,19
Mary,Human,Heuristic2,Human,19
Mary,Human,Heuristic2,Human,19
Mary,Human,Heuristic2,Heuristic2,18
Mary,Human,Heuristic2,Heuristic2,12
Mary,Human,Heuristic2,Human,31
Mary,Human,Heuristic2,Human,37
Mary,Human,Best_First,Human,21
Mary,Human,Best_First,Human,27
Mary,Human,Best_First,Human,21
Mary,Human,Best_First,Human,13
